# csv_cdr_data.csv
call_id,start_time,duration,caller_id,data_volume
CSV000001,2025-10-28 10:00:00,120,01012345678,1024
CSV000002,2025-10-28 10:01:30,60,01012345678,512
CSV000003,2025-10-28 10:02:00,150,01012345678,2048
CSV000004,2025-10-28 10:05:15,90,01012345678,768
CSV000005,2025-10-28 10:08:00,300,01012345678,4096
CSV000006,2025-10-28 10:10:00,200,01012345678,256
CSV000007,2025-10-28 10:12:30,50,01012345678,128
CSV000008,2025-10-28 10:15:00,450,01012345678,8192
CSV000009,2025-10-28 10:20:00,100,01012345678,1024
CSV000010,2025-10-28 10:25:00,80,01012345678,512
CSV000011,2025-10-28 10:30:00,250,01012345678,2048
CSV000012,2025-10-28 10:35:00,500,01012345678,768
CSV000013,2025-10-28 10:40:00,70,01012345678,4096
CSV000014,2025-10-28 10:45:00,180,01012345678,256
CSV000015,2025-10-28 10:50:00,330,01012345678,128
CSV000016,2025-10-28 10:55:00,40,01012345678,8192
CSV000017,2025-10-28 11:00:00,130,01012345678,1024
CSV000018,2025-10-28 11:05:00,220,01012345678,512
CSV000019,2025-10-28 11:10:00,170,01012345678,2048
CSV000020,2025-10-28 11:15:00,60,01012345678,768
CSV000021,2025-10-28 11:20:00,310,01012345678,4096
CSV000022,2025-10-28 11:25:00,90,01012345678,256
CSV000023,2025-10-28 11:30:00,400,01012345678,128
CSV000024,2025-10-28 11:35:00,160,01012345678,8192
CSV000025,2025-10-28 11:40:00,30,01012345678,1024
CSV000026,2025-10-28 11:45:00,110,01012345678,512
CSV000027,2025-10-28 11:50:00,280,01012345678,2048
CSV000028,2025-10-28 11:55:00,70,01012345678,768
CSV000029,2025-10-28 12:00:00,190,01012345678,4096
CSV000030,2025-10-28 12:05:00,50,01012345678,256
CSV000031,2025-10-28 12:10:00,140,01012345678,128
# 의도적 오류: duration 필드에 숫자가 아닌 문자 'ABC' 삽입 (라인 32)
CSV000032,2025-10-28 12:15:00,ABC,01012345678,8192
# 의도적 오류: 필드 개수 부족 (data_volume 없음) (라인 33)
CSV000033,2025-10-28 12:20:00,100,01012345678
# 의도적 오류: start_time 필드 포맷 오류 (연월일만) (라인 34)
CSV000034,2025-10-28,20,01012345678,1024
# 의도적 오류: 필드 개수 초과 (추가 필드 'EXTRA') (라인 35)
CSV000035,2025-10-28 12:30:00,25,01012345678,512,EXTRA
